Project;Test no;Start time;Step no;Algorithm;EQ oracle;|Sigma|;#EQs;#MQs (total);#MQs (learner);#MQs (EQ oracle);#Symbol calls (total);#Symbol calls (learner);#Symbol calls (EQ oracle);Duration (total); Duration (learner); Duration (EQ oracle)
5969;49;"2020-08-22T02:08:28.682+01:00";1;TTT;random_word;10;0;25;10;15;113;10;103;80027;13151;66876
5969;49;"2020-08-22T02:10:07.782+01:00";2;TTT;random_word;10;1;41;26;15;159;64;95;91303;32139;59164
5969;49;"2020-08-22T02:12:05.727+01:00";3;TTT;random_word;10;1;56;39;17;256;128;128;139124;58673;80452
5969;49;"2020-08-22T02:14:23.144+01:00";4;TTT;random_word;10;1;54;38;16;237;112;125;126884;56914;69971

5969;50;"2020-08-22T02:29:38.295+01:00";1;KEARNS_VAZIRANI;random_word;10;0;25;10;15;113;10;103;80452;13935;66518
5969;50;"2020-08-22T02:31:29.039+01:00";2;KEARNS_VAZIRANI;random_word;10;1;33;18;15;191;96;95;103692;44165;59528
5969;50;"2020-08-22T02:33:50.347+01:00";3;KEARNS_VAZIRANI;random_word;10;1;50;33;17;278;150;128;160752;81619;79133
5969;50;"2020-08-22T02:36:13.935+01:00";4;KEARNS_VAZIRANI;random_word;10;1;53;36;17;253;126;127;135974;64377;71597

5969;51;"2020-08-22T02:54:01.787+01:00";1;DHC;random_word;10;0;424;410;14;1210;1110;100;623816;558310;65506

